1780627014.14380 0.107256 0.120716 -0.014049 -0.537881 0.432545 -0.538520 0.483306 0.0062834528 0.0006931843 0.0005981481 0.0057854835 0.0004628407 0.0087737624 0.1965334055 0.0131287507 -0.0674536269 0.1378102447 0.0001442552 0.0380638692
1780627014.17712 -0.039536 -0.043195 0.036080 -0.530063 0.437376 -0.534545 0.491932 0.0049087338 0.0005534329 0.0011196669 0.0049256575 -0.0006685273 0.0065182885 0.0224200661 0.0365573765 -0.0032119988 0.0830965253 -0.0134174711 0.0094612201
1780627014.21045 -0.028028 -0.005285 0.032039 -0.518797 0.440122 -0.541186 0.494227 0.0040472557 0.0003507058 0.0001836085 0.0033687554 0.0001167104 0.0044096802 0.0031877686 0.0006521271 0.0018705134 0.0064033094 -0.0015645840 0.0061371303
1780627014.24382 0.010243 0.029399 0.004780 -0.503296 0.447112 -0.549778 0.494497 0.0037841262 0.0003933230 0.0000691833 0.0030019658 0.0000880230 0.0041912417 0.0003383410 0.0001900313 -0.0000702208 0.0018829757 -0.0006986652 0.0007248505
1780627014.27710 0.016072 0.033487 0.005721 -0.500752 0.444043 -0.547998 0.501769 0.0037532193 0.0003979795 -0.0000361847 0.0029410292 0.0001323935 0.0040980179 0.0003187220 0.0001815358 -0.0000757777 0.0018516046 -0.0006971117 0.0007089802
1780627014.31044 0.020750 0.040089 0.008866 -0.494774 0.446124 -0.548449 0.505347 0.0037300850 0.0003853179 0.0000020843 0.0028562182 0.0001739001 0.0040794775 0.0003154199 0.0001825437 -0.0000752349 0.0018496957 -0.0006977278 0.0006996100
1780627014.34376 0.027221 0.047665 0.008656 -0.486627 0.451999 -0.545372 0.511332 0.0037853561 0.0003658379 0.0000063651 0.0029061936 0.0001825666 0.0041296576 0.0003161789 0.0001820742 -0.0000750575 0.0018515236 -0.0006965124 0.0006990122
1780627014.37711 0.032750 0.056346 0.009032 -0.484225 0.453066 -0.543237 0.514929 0.0038565591 0.0003468187 0.0000038985 0.0029228738 0.0002013966 0.0041510624 0.0003189733 0.0001812664 -0.0000752527 0.0018542782 -0.0006961739 0.0007000347
1780627014.41042 0.039701 0.067069 0.007184 -0.488583 0.454832 -0.538454 0.514279 0.0038667887 0.0003230730 0.0000094536 0.0029415987 0.0001984004 0.0041800342 0.0003220248 0.0001805410 -0.0000756983 0.0018593312 -0.0006953735 0.0007024490
1780627014.44375 0.046869 0.077763 0.004991 -0.487427 0.457917 -0.535202 0.516029 0.0039168525 0.0003241283 0.0000147372 0.0029902259 0.0001841314 0.0042389934 0.0003265419 0.0001774042 -0.0000742737 0.0018650719 -0.0006946232 0.0007105979
1780627014.47708 0.053275 0.088235 0.002810 -0.483370 0.461144 -0.533543 0.518682 0.0039969752 0.0003143903 0.0000152871 0.0030578707 0.0001882398 0.0043168525 0.0003421861 0.0001746070 -0.0000714710 0.0018816576 -0.0006940926 0.0007274547
1780627014.51040 0.062651 0.096831 0.001451 -0.481569 0.466438 -0.530981 0.518254 0.0040008709 0.0002725692 -0.0000383397 0.0030055252 0.0001491981 0.0043402462 0.0003503631 0.0001682520 -0.0000768937 0.0018858550 -0.0006891785 0.0007399207
1780627014.54372 0.064235 0.104159 0.003504 -0.482697 0.465057 -0.524563 0.524937 0.0038675406 0.0002835911 -0.0000728077 0.0028467215 0.0001368962 0.0042324404 0.0003299159 0.0001652113 -0.0000708821 0.0018770578 -0.0006924766 0.0007338654
1780627014.57705 0.070188 0.110352 0.005609 -0.486526 0.465236 -0.519914 0.525868 0.0038343124 0.0002771939 -0.0001002901 0.0028431966 0.0001411452 0.0042339296 0.0003288036 0.0001609395 -0.0000719417 0.0018765401 -0.0006953815 0.0007369948
1780627014.61038 0.072787 0.111517 0.004905 -0.491516 0.462369 -0.516864 0.526763 0.0038182493 0.0002764078 -0.0000605590 0.0028622637 0.0001480386 0.0042106290 0.0003301049 0.0001601269 -0.0000761795 0.0018765112 -0.0006946993 0.0007399405
1780627014.64370 0.075127 0.118948 0.004231 -0.501286 0.454690 -0.518359 0.522755 0.0038305033 0.0002940448 -0.0000014336 0.0028912881 0.0001253959 0.0041617576 0.0003313047 0.0001647855 -0.0000755760 0.0018788286 -0.0006908091 0.0007434810
1780627014.67703 0.078767 0.125119 0.004071 -0.505077 0.453253 -0.518780 0.519929 0.0038301932 0.0003174545 -0.0000213485 0.0028933340 0.0001214554 0.0041025149 0.0003381339 0.0001633687 -0.0000730037 0.0018784297 -0.0006879874 0.0007541110
