timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1780627011.5098972,1.2485761657714842,-10.292672937011718,0.09576806640624999,9.3994140625,6.103515625,6.2255859375
1780627011.51187,1.3527239379882812,-10.309432348632813,0.062249243164062495,10.1318359375,6.9580078125,6.591796875
1780627011.515672,1.4820108276367188,-10.377667095947265,-0.00718260498046875,12.02392578125,6.591796875,7.26318359375
1780627011.519672,1.5562310791015623,-10.232817895507813,-0.010773907470703125,13.427734375,7.26318359375,7.50732421875
1780627011.5236719,1.5729904907226562,-10.079588989257813,0.08259995727539061,13.97705078125,9.09423828125,7.9345703125
1780627011.5276718,1.6208745239257811,-10.024522351074218,0.1879448303222656,15.380859375,10.498046875,8.11767578125
1780627011.5316718,1.6424223388671875,-9.886855755615233,0.36272155151367186,15.380859375,11.53564453125,8.11767578125
1780627011.5356717,1.6579846496582031,-9.744400756835937,0.5410895751953124,15.625,12.20703125,7.568359375
1780627011.5396717,1.6400281372070311,-9.588777648925781,0.6787561706542968,15.56396484375,12.14599609375,7.2021484375
1780627011.5436716,1.619677423095703,-9.482235675048827,0.7625532287597656,15.9912109375,11.77978515625,7.01904296875
1780627011.5476716,1.581370196533203,-9.332598071289063,0.7541735229492187,15.380859375,11.8408203125,6.7138671875
1780627011.5516715,1.5382745666503905,-9.216479290771483,0.7362170104980469,14.6484375,11.53564453125,6.9580078125
1780627011.5556715,1.4963760375976562,-9.095572106933593,0.7266402038574218,14.22119140625,12.451171875,6.65283203125
1780627011.5596714,1.4472949035644531,-9.018957653808593,0.7433996154785156,13.671875,13.12255859375,6.34765625
1780627011.5636714,1.426944189453125,-8.985438830566405,0.7673416320800781,13.36669921875,13.73291015625,5.79833984375
1780627011.5676713,1.3455413330078123,-8.947131604003905,0.7900865478515624,12.5732421875,13.73291015625,5.0048828125
1780627011.5716712,1.2593500732421874,-8.878896856689453,0.814028564453125,11.5966796875,14.16015625,3.72314453125
1780627011.5756712,1.1252747802734375,-8.826224420166016,0.8511386901855468,10.19287109375,14.09912109375,2.3193359375
1780627011.5796711,0.9983820922851562,-8.789114294433594,0.8990227233886718,8.85009765625,14.0380859375,0.8544921875
1780627011.583671,0.8463502868652343,-8.716091143798828,0.9504980590820312,6.77490234375,14.0380859375,-0.6103515625
1780627011.587671,0.6596025573730468,-8.640673791503906,0.9804255798339843,5.4931640625,12.939453125,-1.5869140625
1780627011.591671,0.4525041137695312,-8.558073834228516,1.0390835205078124,4.7607421875,11.8408203125,-1.8310546875
1780627011.595671,0.3459621398925781,-8.566453540039062,1.1228805786132812,2.5634765625,11.04736328125,-1.8310546875
1780627011.599671,0.38187516479492184,-8.645462194824217,1.2521674682617188,1.3427734375,8.30078125,-2.13623046875
1780627011.6036708,0.17118541870117188,-8.56166513671875,1.341950030517578,-0.1220703125,6.2255859375,-1.5869140625
1780627011.6076708,0.09935936889648436,-8.546102825927735,1.3215993164062498,-1.40380859375,4.638671875,-0.9765625
1780627011.6116707,0.08259995727539061,-8.671798413085938,1.2413935607910156,-5.126953125,7.01904296875,0.48828125
