timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1780564493.0387762,0.3136404174804687,-9.889249957275391,1.0905588562011719,-0.30517578125,-0.06103515625,3.7841796875
1780564493.042763,0.2549824768066406,-9.951499200439452,1.1097124694824219,-0.91552734375,-0.18310546875,3.90625
1780564493.046459,0.24301146850585936,-9.888052856445311,1.1647791076660157,-0.06103515625,-0.1220703125,3.72314453125
1780564493.050459,0.22744915771484372,-9.916783276367187,1.1791443176269532,-0.1220703125,0.30517578125,3.72314453125
1780564493.0544589,0.24899697265624998,-9.957484704589843,1.1887211242675781,0.0,1.03759765625,4.150390625
1780564493.0584588,0.22744915771484372,-9.967061511230469,1.1719617126464843,0.91552734375,1.28173828125,4.2724609375
1780564493.0624588,0.2537853759765625,-9.955090502929687,1.1982979309082031,1.52587890625,1.953125,4.45556640625
1780564493.0664587,0.2813186950683594,-9.937133990478515,1.2473790649414063,2.0751953125,2.3193359375,4.45556640625
1780564493.0704587,0.3172317199707031,-9.982623822021484,1.246181964111328,2.9296875,2.685546875,4.21142578125
1780564493.0744586,0.3064578125,-9.958681805419921,1.24498486328125,3.5400390625,2.3193359375,4.0283203125
1780564493.0784585,0.316034619140625,-9.884461553955077,1.2892775939941405,3.5400390625,2.5634765625,3.47900390625
1780564493.0824585,0.3591302490234375,-9.885658654785155,1.3180080139160155,3.41796875,2.38037109375,2.50244140625
1780564493.0864584,0.34715924072265625,-9.885658654785155,1.2964601989746094,3.662109375,2.197265625,1.46484375
1780564493.0904584,0.36750995483398435,-9.849745629882811,1.2318167541503906,4.638671875,1.5869140625,0.244140625
1780564493.0944583,0.3136404174804687,-9.78629928588867,1.189918225097656,4.08935546875,2.13623046875,-1.03759765625
1780564493.0984583,0.31483751831054685,-9.898826763916015,1.2605471740722656,4.2724609375,2.13623046875,-2.3193359375
1780564493.1024582,0.3459621398925781,-9.85094273071289,1.2832920898437499,5.06591796875,1.5869140625,-3.662109375
1780564493.1064582,0.3028665100097656,-9.765948571777344,1.3467384338378905,5.18798828125,1.46484375,-5.06591796875
1780564493.1104581,0.2885013000488281,-9.743203656005859,1.4018050720214843,5.92041015625,1.28173828125,-5.92041015625
1780564493.114458,0.2549824768066406,-9.688137017822266,1.3658920471191405,6.40869140625,0.67138671875,-6.77490234375
1780564493.118458,0.20709844360351562,-9.470264666748045,1.2988544006347655,7.38525390625,0.18310546875,-7.568359375
1780564493.122458,0.15203180541992187,-9.296685046386719,1.1839327209472656,7.080078125,0.732421875,-8.1787109375
1780564493.126458,0.11133037719726561,-9.176974963378905,1.149216796875,7.14111328125,0.8544921875,-8.48388671875
1780564493.1304579,0.0909796630859375,-9.02135185546875,1.064222637939453,6.8359375,1.15966796875,-8.36181640625
